Species,Total Disease,Clade
1 Acropora cervicornis,3.16,complex
1 Acropora palmata,10.958,complex
1 Acropora prolifera,0,complex
1 Undaria agaricites,0.453,complex
1 Agaricia fragilis,0,complex
1 Undaria humilis,0,complex
1 Oculina diffusa,0.885,complex
1 Oculina sp.,0,complex
1 Porites astreoides,0.179,complex
1 Porites cf. branneri,0,complex
1 Porites divaricata,0.089,complex
1 Porites furcata,0,complex
1 Siderastrea siderea,2.307,complex
1 Siderastrea sp.,0,complex
1 Solenastrea bournoni,0.836,complex
1 Undaria sp.,0,complex
1 Agaricia lamarcki,0.716,complex
1 Agaricia sp.,1.402,complex
1 Undaria tenuifolia,0,complex
2 Cladacora arbuscula,0,robust
2 Diploria labyrinthiformis,0.883,robust
2 Pseudodiploria strigosa,0.601,robust
2 Diploria sp.,0,robust
2 Eusmilia fastigiata,0.422,robust
2 Favia fragum,0.752,robust
2 Madracis decactis,0.336,robust
O Millepora sp.,0,outgroup
2 Solenastrea hyades,0.617,robust
1 Stephanocoenia intersepta,1.597,complex
1 Solenastrea sp.,0,complex
2 Meandrina jacksoni,0,robust
2 Pseudodiploria sp.,0,robust
2 Meandrina sp.,0,robust
2 Isophyllia sp.,0,robust
O Manicina areolata,0,outgroup
O Meandrina meandrites,0.789,outgroup
O Millepora alcicornis,0.005,outgroup
2 Colpophyllia natans,0.885,robust
2 Dendrogyra cylindrus,0,robust
2 Dichocoenia stokesi,0.709,robust
2 Pseudodiploria clivosa,0.651,robust
2 Isophyllia rigida,0,robust
2 Isophyllia sinuosa,0,robust
2 Helioseris cucullata,1.136,robust
2 Madracis formosa,5.556,robust
2 Madracis auretenra (mirabilis),0.398,robust
2 Madracis sp.,0,robust
2 Millepora complanata,0,robust
2 Orbicella annularis,1.792,robust
2 Montastraea cavernosa,0.738,robust
2 Orbicella faveolata,1.231,robust
2 Orbicella franksi,2.355,robust
2 Orbicella sp.,6.25,robust
2 Mussa angulosa,0.847,robust
2 Mycetophyllia aliciae,0,robust
2 Mycetophyllia danaana,0,robust
2 Mycetophyllia ferox,0,robust
2 Mycetophyllia lamarckiana,0,robust
2 Mycetophyllia sp.,0,robust
2 Porites porites,0.082,robust
2 Porites sp.,0.299,robust
2 Scolymia cubensis,0,robust
2 Scolymia lacera,0,robust
2 Scolymia sp.,1.053,robust
2 Siderastrea radians,1.102,robust
